pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
Rpi camera box,"LAPP 53111437 SKINTOP ST-HF-M 25 x 1.5 Screwed Cable Gland Light Grey  Code: 49-2705, 5 of",,,£10.56,,,,,Rapid,https://www.rapidonline.com/lapp-53111437-skintop-st-hf-m-25-x-1-5-screwed-cable-gland-light-grey-49-2705,
Rpi camera box,"LAPP 53119130 SKINTOP GMP-GL-M25 Locknut M25 x1.5 Black  Code: 49-1164, 10 of",,,£6.12,,,,,Rapid,https://www.rapidonline.com/lapp-53119130-skintop-gmp-gl-m25-locknut-m25-x1-5-black-49-1164,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Usage,item,no.required,not incl vat,Total incl VAT,In Stock?,Ordered?,Received?,Del Date,Supplier,,
,-------------------------- Box 1 ENCLOSURE ----------------------------------------------------------------,,,,,,,,,,
,"PC 3828 18 T ENCLOSURE Plastic Enclosure, IK08 (Side) / IK09 (Front), DIN Rail, Polycarbonate, 180 mm, 278 mm, 378 mm",1,182,218.4,0,0,0,,Rapid,https://www.rapidonline.com/fibox-5330073-pc-38x28x18cm-t-enclosure-pc-transparent-cover-30-0727,
*,"DC Axial Fan, 12 V, Square, 40 mm, 10.5 mm, Hydro Wave Bearing, 5.2 CFMMULTICOMP PRO",2,3.036,3.6432,2,0,0,,Farnell,https://uk.farnell.com/multicomp/mc002107/axial-fan-40mm-12vdc-5-2cfm-27/dp/2816686,
,"RS PRO Fan Filter for 40mm Fans, PUR Filter, ABS Frame, 40 x 40mm",2,1.786,4.2864,8,0,0,,Rsonline,https://uk.rs-online.com/web/p/fan-filters/7374074,
,"Car Motorcycle Voltmeter DC 12V-24V LED Panel Digital Voltage Volt Meter Display, BLUE display.",1,NA,5.89,0,0,0,,Ebay,https://www.ebay.co.uk/itm/285977674863,
,"Relay, 100A",,,,,,,,,,
,Red Classic Car Dash Board Panel Warning Light Lamp 12v 17mm Hole,1,NA,4.99,0,0,0,,EBAY,,
,"12V 100A 100 AMP HEAVY DUTY SPLIT CHARGE RELAY CAMPER VAN - HEAVY DUTY RELAY, WM686 RL/180-12",1,NA,8.46,0,0,0,,EBAY,https://www.ebay.co.uk/itm/405967782286,
,"USB 2.0 A to A Feedthrough Panel Mount Connector, CSK hole, Black Plastic XLR Frame - CP30208N",1,4.68,NA,0,0,0,,CPC,,
,"SIB TEC Polyamide Compression Gland (Metric) SIB/M12 / Grey (RAL 7035), SIB SIB-TEC Series Grey PA 6 Cable Gland, M12 Thread, 2.5mm Min, 6.5mm Max, IP68 ",30,0.3,10.8,50,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/sib-tec-polyamide-compression-gland-metric?variant=43048401141984,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, ID 12.0, 3mm THK.",,,,,,,,,,
,"Metric Thread Nylon Locknut, 12mm / Grey",30,0.12,4.32,50,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/metric-thread-nylon-locknut?variant=46462619975904,"Delivery £7.50, FREE over £75"
,SIB-TEC Polyamide Cable Gland – IP68 Nylon Metric Gland  Select Product Code SIB/M16 Colour Grey (RAL 7035) Price £0.26,16,0.26,4.992,0,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/sib-tec-polyamide-compression-gland-metric?variant=43048401404128,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, ID 16.0, 3mm THK.",,,,,,,,,,
,Metric Thread Nylon Locknut  Select Size 16mm Select Colour Grey Price £0.08 ,16,0.08,1.536,0,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/metric-thread-nylon-locknut?variant=46462620041440,
,Switch,1,,,,,,,,,
,"FLIP UP cover for ALT/SH5 type toggle switch, red",,1.99,,,,,,Altec Automotive,https://www.altecautomotive.co.uk/flip-up-cover-for-altsh5-type-toggle-switch-1798-p.asp,
,Cable connectors (to be edited),?,,,,,,,,,
,Stand offs,?,,,,,,,,,
,Stand offs  970450481 2884613  Data Sheet WURTH ELEKTRONIK Standoff Steel M4 Hex Female-Female 45 mm,6,,,1,,,,Farnell,https://uk.farnell.com/wurth-elektronik/970450481/standoff-hex-female-female-45mm/dp/2884613,
Bus bars,FOUR PRONGED T NUTS CAPTIVE THREADED INSERTS FOR WOOD FURNITURE M4,4, £0.99,,,,EBAY,,,https://www.ebay.co.uk/itm/181230569842,
Bus bars,"M4 CS x10 screw, 4 of.",,,,,,,,,,
Fuse box mounts,"Spacers, 4 of, height = 3.5 OD = 9.5 ID = 4",,,,,,,,,https://www.ebay.co.uk/itm/255861443192?var=555799447770,
Fuse box mounts,"CS screw M4 x 30, 4 of",,,,,,,,,https://www.ebay.co.uk/itm/184276387708,
Cytron motor controller,"Stand offs M3 x 7, male – female, 4 of (motor controller)",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Cytron motor controller,"Stand offs M3 x 30, male – female, 12 of (motor controller)",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Above 100A relay,"Stand offs M4 x 50, male – female, 4 of",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Above plugin relays,"Stand offs M4 x 45, male – female, 6 of",,,,,,,,,https://www.ebay.co.uk/itm/256042934257?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZRGA3AQAFY1XT9WFW8&hash=item3b9d591ff1%3Ag%3AwqUAAOSwDXVkOEEX&var=555988161304,
Cytron terminal blocks,"HA0230500000G DigiKey Part Number 609-4549-ND, Amphenol Anytek, HA0230500000G, TERM BLK 2POS TOP ENTRY 5MM PCB, Detailed Description: 2 Position Wire to Board Terminal Block Vertical with Board 0.197"" (5.00mm) Through Hole",,,,,,,,Digikey,https://www.digikey.co.uk/en/products/detail/amphenol-anytek/HA0230500000G/2683195,
Cytron terminal blocks,"1935310.  277-1592-ND Phoenix Contact: 1935310 TERM BLK 2POS TOP ENTRY 5MM PCB , 2 Position Wire to Board Terminal Block Vertical with Board 0.197"" (5.00mm) Through Hole",,,,,,,,Digikey,https://www.digikey.co.uk/en/products/detail/phoenix-contact/1935310/568629,
Cytron terminal blocks,"OSTTD020161, ED2618-ND, On Shore Technology Inc., OSTTD020161, TERM BLK 2POS TOP ENTRY 5MM PCB, 2 Position Wire to Board Terminal Block Vertical with Board 0.197"" (5.00mm) Through Hole",,,,,,,,Digikey,https://www.digikey.co.uk/en/products/detail/phoenix-contact/1935310/568629,
Cytron terminal blocks,"1935310 Wire-To-Board Terminal Block, 5 mm, 2 Ways, 26 AWG, 16 AWG, 1.5 mm², Screw PHOENIX CONTACTManufacturer Part No1935310Order Code1793682Product RangePTAlso Known As1935310, PT1,5/2-5.0-V",,,,,,,,Farnell,https://uk.farnell.com/phoenix-contact/pt1-5-2-5-0-v/terminal-block-wire-to-brd-2pos/dp/1793682,
gland panel fixing,"M4 pane head screw x 10mm long, 18 of",,,,,,,,,,
gland panel fixing,"M4 pane head screw x 6mm long, 2 of",,,,,,,,,,
,"RS PRO, M4 Brass Threaded Insert diameter 5.6mm Depth 7.95mm RS Stock No. 278-556 Brand RS PRO , use 5.7mm drill,",8,£0.15,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0278556/,
base PCB fixing,"M4 pane head screw x 10mm long, 6 of",,,,,,,,,,
Icotek fixing,"M4 screw CS x 25, 6 of",,,,,,,,,,
Fan filter screws,"Screws, Pan head, M3 x 15mm, 4 of.",,,,0,,,,rapid,https://www.rapidonline.com/r-tech-337497-m3-x-16-hex-socket-countersunk-screws-a2-st-st-pack-of-100-33-7497,
Fan + Filter screws,"Screws, pan head, M3 x 25",,,,,,,,,,
,AMC Single Core Thin Wall Cable - 10.0mm² 70AProduct code: P01303,1,,£3.13,,,,,12V planet,https://www.12voltplanet.co.uk/P01303.html,
Main battery cables,10mm2 70 A Amp Thinwall PVC Cable Black Red 1 - 100M M Lengths 70A Amps Battery,5,,£13.50,,,,,EBAY,https://www.ebay.co.uk/itm/192243636859,
Main battery cables,"COPPER LUG TERMINAL BATTERY WELDING CABLE TUBE CONNECTOR RING CRIMP ALL SIZES, 5mm hole for fuse holders",2,,£4.69,,,,,EBAY,https://www.ebay.co.uk/itm/116796243076?var=416954898167,
Main battery cables,"COPPER LUG TERMINAL BATTERY WELDING CABLE TUBE CONNECTOR RING CRIMP ALL SIZES, 6mm hole for 100 amp relay",10,,£4.45,,,,,EBAY,https://www.ebay.co.uk/itm/116796243076?var=416954898172,
Main battery cables,"COPPER LUG TERMINAL BATTERY WELDING CABLE TUBE CONNECTOR RING CRIMP ALL SIZES, 6mm hole for 100 amp relay",10,,£4.45,,,,,EBAY,https://www.ebay.co.uk/itm/145839490955?var=444916761487,
Earth cable joining,Copper Tube Butt Connectors Splices Terminals (Range of Sizes) 2.5mm-500mm,,,£5.17,,,,,EBAY,https://www.ebay.co.uk/itm/251608092429?var=550510543627,
Starter / glow plugs,MIDI/STRIP LINK FUSE HOLDER CAR AUTO HEAVY DUTY 30/40/50/60/70/80/100/125/150AMP New60 Amp Fuse Only,2,,£5.98,,,,,EBAY,https://www.ebay.co.uk/itm/191963894777?var=491324989065,
,ID 6mm Insulated Yellow Ring Terminal Connector Terminals Crimp Electrical Terminal,50,,£8.39,,,,,EBAY,https://www.ebay.co.uk/itm/201614843785?var=500846793528,
,,,,,,,,,,,
Usage,item,no.required,not incl vat,Total incl VAT,In Stock?,Ordered?,Received?,Del Date,Supplier,,
,-------------------------- Box 2 ENCLOSURE ----------------------------------------------------------------,,,,,,,,,,
,"PC 3828 18 T ENCLOSURE Plastic Enclosure, IK08 (Side) / IK09 (Front), DIN Rail, Polycarbonate, 180 mm, 278 mm, 378 mm",1,182,218.4,0,0,0,,Rapid,https://www.rapidonline.com/fibox-5330073-pc-38x28x18cm-t-enclosure-pc-transparent-cover-30-0727,
*,"DC Axial Fan, 12 V, Square, 40 mm, 10.5 mm, Hydro Wave Bearing, 5.2 CFMMULTICOMP PRO",2,3.036,3.6432,2,0,0,,Farnell,https://uk.farnell.com/multicomp/mc002107/axial-fan-40mm-12vdc-5-2cfm-27/dp/2816686,
,"RS PRO Fan Filter for 40mm Fans, PUR Filter, ABS Frame, 40 x 40mm",2,1.786,4.2864,8,0,0,,Rsonline,https://uk.rs-online.com/web/p/fan-filters/7374074,
,"Car Motorcycle Voltmeter DC 12V-24V LED Panel Digital Voltage Volt Meter Display, BLUE display.",1,NA,5.89,0,0,0,,Ebay,https://www.ebay.co.uk/itm/285977674863,
,"Relay, 100A",,,,,,,,,,
,Red Classic Car Dash Board Panel Warning Light Lamp 12v 17mm Hole,1,NA,4.99,0,0,0,,EBAY,,
,12V 100A 100 AMP HEAVY DUTY SPLIT CHARGE RELAY CAMPER VAN - HEAVY DUTY RELAY,1,NA,8.46,0,0,0,,EBAY,https://www.ebay.co.uk/itm/405967782286,
,"USB 2.0 A to A Feedthrough Panel Mount Connector, CSK hole, Black Plastic XLR Frame - CP30208N",1,4.68,NA,0,0,0,,CPC,,
,"SIB TEC Polyamide Compression Gland (Metric) SIB/M12 / Grey (RAL 7035), SIB SIB-TEC Series Grey PA 6 Cable Gland, M12 Thread, 2.5mm Min, 6.5mm Max, IP68 ",30,0.3,10.8,50,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/sib-tec-polyamide-compression-gland-metric?variant=43048401141984,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, ID 12.0, 3mm THK.",,,,,,,,,,
,"Metric Thread Nylon Locknut, 12mm / Grey",30,0.12,4.32,50,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/metric-thread-nylon-locknut?variant=46462619975904,"Delivery £7.50, FREE over £75"
,SIB-TEC Polyamide Cable Gland – IP68 Nylon Metric Gland  Select Product Code SIB/M16 Colour Grey (RAL 7035) Price £0.26,16,0.26,4.992,0,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/sib-tec-polyamide-compression-gland-metric?variant=43048401404128,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, ID 16.0, 3mm THK.",,,,,,,,,,
,Metric Thread Nylon Locknut  Select Size 16mm Select Colour Grey Price £0.08 ,16,0.08,1.536,0,0,0,,cableglandsuk.com,https://www.cableglandsuk.com/products/metric-thread-nylon-locknut?variant=46462620041440,
,Switch,1,,,,,,,,,
,"FLIP UP cover for ALT/SH5 type toggle switch, red",,1.99,,,,,,Altec Automotive,https://www.altecautomotive.co.uk/flip-up-cover-for-altsh5-type-toggle-switch-1798-p.asp,
,Cable connectors (to be edited),?,,,,,,,,,
,Stand offs  970450481 2884613  Data Sheet WURTH ELEKTRONIK Standoff Steel M4 Hex Female-Female 45 mm,6,,£0.99,1,,,,Farnell,https://uk.farnell.com/wurth-elektronik/970450481/standoff-hex-female-female-45mm/dp/2884613,
,PB Fastener S57040X45 Zinc Plated Steel F/F Spacers M4 x 45mm Pack Of 10  Order Code: 49-0947 MPN: S57040X45,6,£5.54,,1,,,,Rapid,https://www.rapidonline.com/pb-fastener-s57040x45-zinc-plated-steel-f-f-spacers-m4-x-45mm-pack-of-10-49-0947,
Below MCU board,"Stand offs M4 x 45, male – female, 6 of",,,,,,,,,,
Cytron motor controller,"Stand offs M3 x 7, male – female, 4 of (motor controller)",,,,,,,,,,
Cytron motor controller,"Stand offs M3 x 30, male – female, 12 of (motor controller)",,,,,,,,,,
,"Stand offs M3 x 50, male -female, 3 of (Jetson PCB)",,,,,,,,,,
,"Stand offs , M3 x 15, male – female, 1 of (Jetson PCB)",,,,,,,,,,
,"Stand offs , M3 x 20, male – female, 1 of (Jetson PCB)",,,,,,,,,,
,"M4 washers, 4 of (Jetson PCB)",,,,,,,,,,
,"Screw M4, CS x 25, 4 of (LED fuse box)",,,,,,,,,,
,"Screw M4 x 10, posidrive domed head, 20 of",,,,,,,,,,
,"M3 nyloc nut, 25 of",,,,,,,,,,
,M4 nyloc nut 4 of,,,,,,,,,,
,"Screw M5 x , CS x 25, 4 of (Icotech gland)",,,,,,,,,,
,M5 nyloc nuts x 4 of,,,,,,,,,,
,"Screw M3 x 25, 8 of (fans)",,,,,,,,,,
XLR fittings,"Screw M3 CS x 10mm, 10 of",,,,,,,,,,
Power in and lin actuators,"Circular inline plug, PELR0114, 5A, 2 pole, 5-8mm, IP68, mates with PELR0135",3,£2.76,,,,,,CPC,,
Power in and lin actuators,"Circular inline socket, PELR0135, 5A, 2 pole, 5-8mm, IP68, mates with PELR0114",3,£3.10,,,,,,CPC,,
,"Circular Threaded Connector Inline Plug, 2-Pole, 7-12mm, IP68 , 30 Amp, PRO ELEC - PELR0170 , mates with ?",24,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-p2ii-1c/circular-in-line-plug-2-p-7-12mm/dp/CN21363,
,"Circular Threaded Inline Connector Socket, 2-Pole, 7-12mm, IP68   30 Amp, PPRO ELEC - PELR0163 , , mates with ?",24,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-s2ii-1c/circular-socket-2-pole-7-12mm/dp/CN21356,
Solenoid valves,"Pitacs 2 Core Round Flex Cable (2182Y) 0.75mm2 Drum  by Pitacs Product Code: 59619, 50m, 6A",,,£20.51,,,,,tool station,https://www.toolstation.com/pitacs-2-core-round-flex-cable-2182y/p59619,
Linear actuators & motors,Time 3182Y White 2-Core 1.5mm² Flexible Cable 25m Drum (841JY),,,,,,,,Screwfix,https://www.screwfix.com/p/time-3182y-white-2-core-1-5mm-flexible-cable-25m-drum/841JY,
,"PELB1442   CB23522 +RoHS  3182Y 2-Core Mains Cable, 1.5mm, 16A, 25m, White  PRO ELEC 3182Y 2-Core cable",,£13.88,,,,,,CPC,https://cpc.farnell.com/pro-elec/pelb1442/cable-3182y-1-50mm-white-25m/dp/CB23522,
Power in,"3182Y 2 Core Mains Cable, 2.5mm, 25A, 10m, White - PEL01128 Add to compare  Manufacturer: PRO ELEC Manufacturer Part No: PEL01128 Order Code: CB20321 Product Range 3182Y  , OD 9.4 – 20mm gland",,,£9.30,,,,,CPC,https://cpc.farnell.com/pro-elec/pel01128/cable-3182y-2-50mm-white-10m/dp/CB20321,
For 9.4mm cable,"Icotek Grey Elastomer Cable Grommet KT 8,RS Stock No.: 283-7610 Distrelec Article No.: 155-19-495 Mfr. Part No.: KT 8 Brand:Icotek",,£1.33,,,,,,Rsonline,,
,WAGO 221-415 - 221 Series 5 Conductor Max. 4mm² Splicing Con. with Lever Order Code:  21-5764 Brand: WAGO MPN: 221-415 EAN-13: 4055143234658,5,£0.56,,,,,,Rapid,https://www.rapidonline.com/wago-221-415-221-series-5-conductor-max-4mm-splicing-con-with-lever-21-5764,
,Conrad Components 606216 Automotive Wire FLRY-B 1x1.50mm² Red 10m Order Code:  11-6431 Brand: Conrad Components MPN: 606216 EAN-13: 4016138712834,2,£7.44,,,,,,Rapid,https://www.rapidonline.com/conrad-components-606216-automotive-wire-flry-b-1x1-50mm-red-10m-11-6431,
,"CP30208NM3 - USB 2.0 A to USB 2.0 A, Panel Mount Feedthrough Connector, Metal   Manufacturer: CLIFF ELECTRONIC COMPONENTS  Order Code: CN21259 , XLR",3,£5.31,,,,Y,,CPC,https://cpc.farnell.com/cliff-electronic-components/cp30208nm3/feedthrough-coupler-usb2-0-type/dp/CN21259,
,"CP30608NM - Slim USB 2.0 Type A Socket to USB 2.0 Type A Socket Feedthrough Connector Adaptor, Nickel Frame, CSK Holes   Manufacturer: CLIFF ELECTRONIC COMPONENTS Order Code: CN23060 , not XLR, square hole: 22.35 x 16.75, holes 28.75",,£6.28,,,,,,CPC,https://cpc.farnell.com/cliff-electronic-components/cp30608nm/feedthru-usb2-0-a-a-slim-metal/dp/CN23060,
,PP01651 - M16 IP68 Nylon Cable Gland Black - Single Pack   Manufacturer: PRO POWER  Order Code: CBBR7374 ,,£0.27,,,,,,CPC,https://cpc.farnell.com/pro-power/mg-16-black/m16-cable-gland-black/dp/CBBR7374,
Power in 12V,"Circular Threaded Connector Inline Plug, 2-Pole, 7-12mm, IP68 , 30 Amp, PRO ELEC - PELR0170 , mates with PELR0163 YES",1,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-p2ii-1c/circular-in-line-plug-2-p-7-12mm/dp/CN21363,
Power in 12V,"Circular Threaded Inline Connector Socket, 2-Pole, 7-12mm, IP68   30 Amp, PPRO ELEC - PELR0163 , mates with PELR0170 YES",1,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-s2ii-1c/circular-socket-2-pole-7-12mm/dp/CN21356,
Encoders,"Circular Threaded Connector Inline Plug, 4-Pole, 5-8mm, IP68  5 Amps, PRO ELEC - PELR0130 , mates with PELR0123, YES",3,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-p4iic/circular-in-line-plug-4-p-5-8mm/dp/CN21323,
Encoders,"Circular Threaded Connector Socket, 4-Pole, 5-8mm, IP68  5 Amps, PRO ELEC - PELR0123 , mates with PELR0130, YES",3,£2.76,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-s4iic/circular-socket-4-pole-5-8mm-ip68/dp/CN21316,
,"Motor controller, PiHut, MDD20A or 20A 6V-30V Single-Channel DC Motor Driver, £22.5",1,NA,£33,2,0,0,,PiHut,https://thepihut.com/products/20a-6v-30v-2-channel-dc-motor-driver,
Fan filter screws,"Screws, Pan head, M3 x 15mm, 4 of.",,,,0,,,,rapid,https://www.rapidonline.com/r-tech-337497-m3-x-16-hex-socket-countersunk-screws-a2-st-st-pack-of-100-33-7497,
Fan + Filter screws,"Screws, pan head, M3 x 25",,,,,,,,,,
,"RUNCCI-YUN 20PCS 5.5mm x 2.5mm DC Power Pigtail Cable,18AWG DC Male Power Pigtail Adapter,5.5 x 2.5 mm dc power connector,12V 5A DC Connectors Barrel Connector (2.5mm x 5.5mm, Ultra Thick) ",,£9.99,,,,,,Amazon,,
Fuse box mounts,"Spacers, 4 of, height = 3.5 OD = 9.5 ID = 4",,,,,,,,,https://www.ebay.co.uk/itm/255861443192?var=555799447770,
Fuse box mounts,"CS screw M4 x 30, 4 of",,,,,,,,,https://www.ebay.co.uk/itm/184276387708,
,"RS PRO, M4 Brass Threaded Insert diameter 5.6mm Depth 7.95mm RS Stock No. 278-556 Brand RS PRO , use 5.7mm drill,",8,£0.15,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0278556/,
gland panel fixing,"M4 pane head screw x 10mm long, 18 of",,,,,,,,,,
gland panel fixing,"M4 pane head screw x 6mm long, 2 of",,,,,,,,,,
base PCB fixing,"M4 pane head screw x 10mm long, 6 of",,,,,,,,,,
Icotek fixing,"M4 screw CS x 25, 6 of",,,,,,,,,,
,,,,,,,,,,,
Usage,item,no.required,not incl vat,Total incl VAT,In Stock?,Ordered?,Received?,Del Date,Supplier,,
,-------------------------- BASE PCB ----------------------------------------------------------------,,,,,,,,,,
,"Durakool Plug In Automotive Relay, 12V dc Coil Voltage, 40A Switching Current, SPST – DG82-7021-36-1012-DR",8,2.79,26.784,0,8,0,,Rsonline,https://uk.rs-online.com/web/p/automotive-relays/9156648,
,"Durakool DZ 5 Pin PCB Mount Relay Socket, for use with Micro-ISO Relays – DZ82AB-5-PCB",8,4.64,44.544,0,8,0,12 Jan 2026,Rsonline,https://uk.rs-online.com/web/p/relay-sockets/2766006,
,"BTS441RGATMA1, IC PWR SWITCH N-CHAN 1:1 TO263-5, High side switch",8,3.78,36.288,6,2,0,,Digikey,,
,"PCB terminal block; lever; 16 mm²; Pin spacing 10 mm; 4-pole; CAGE CLAMP®; 16,00 mm²; gray | Item number: 2716-104 WAGO 55A",8,7.94,76.224,12,0,0,,Digikey,,
,"WAGO 2604-3104 - Wire-To-Board Terminal Block, 5 mm, 4 Ways, 24 AWG, 12 AWG, 4 mm², Push In  WAGO Order Code: 2749676 ",14,2.92,49.056,0,0,0,,Farnell,https://uk.farnell.com/wago/2604-3104/tb-wire-to-brd-4pos-12awg/dp/2749676,
,ST Stepper Motor Control/Driver L293D,2,2.26,5.424,9,0,0,,Rapid,https://www.rapidonline.com/st-stepper-motor-control-driver-l293d-82-0192,
,TruConnect 16 Pin DIL Socket 7.62mm No Central Support (Tube of 30),2,3.23,7.752,20,0,0,,Rapid,https://www.rapidonline.com/st-stepper-motor-control-driver-l293d-82-0192,
,"IC REG LINEAR 5V 1.5A D2PAK, L7805ACD2T-TR",1,0.57,0.684,6,0,0,,CPC,£3.32 shipping,
,2Pc 12 Terminal Block Bus Bar & Cover 12V Distribution Bus Bar Auto Boat Power,1,NA,12.19,,0,0,,Ebay,https://www.ebay.co.uk/itm/375543641228,
,10 way ATO /ATC FUSE BOX with individual L.E.D. blown fuse indicator ALT/FBB10L-1-06,1,NA,14.03,0,0,0,,Altec Automotive,https://www.altecautomotive.co.uk/10-way-ato-atc-fuse-box-with-individual-led-blown-fuse-indicator----altfbb10l-1-06-17986-p.asp,
,"Motor controller, PiHut, MDD20A or 20A 6V-30V Single-Channel DC Motor Driver, £22.5",2,NA,45,0,0,0,,PiHut,https://thepihut.com/products/20a-6v-30v-2-channel-dc-motor-driver,
*,"Panasonic 470μF Aluminium Electrolytic Capacitor 16V dc, Surface Mount - EEEFK1C471P RS Stock No. 537-0477 ",1,0.198,0.2376,6,0,0,,Rsonline,https://uk.rs-online.com/web/p/products/5370477/,
,"Capacitor, 0603, 0.1 uF",1,,,,,,,,,
,Heavy copper wire,,,,,,,,,,
,Stand offs,?,,,,,,,,,
,FOUR PRONGED T NUTS CAPTIVE THREADED INSERTS FOR WOOD FURNITURE M4,4, £0.99,,,,EBAY,,,https://www.ebay.co.uk/itm/181230569842,
Fuse box mounts,"Spacers, 4 of, height = 3.5 OD = 9.5 ID = 4",,,,,,,,,https://www.ebay.co.uk/itm/255861443192?var=555799447770,
Fuse box mounts,"CS screw M4 x 30, 4 of",,,,,,,,,https://www.ebay.co.uk/itm/184276387708,
Cytron motor controller,"Stand offs M3 x 7, male – female, 4 of (motor controller)",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Cytron motor controller,"Stand offs M3 x 30, male – female, 12 of (motor controller)",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Above 100A relay,"Stand offs M4 x 50, male – female, 4 of",,,,,,,,,https://www.ebay.co.uk/itm/256041736715?_skw=hex+spacer+standoff+mount+fixing+%7C+pcb+%7C+metric+%7C+bolts+%7C+m4&itmmeta=01KH6AMBZQKECWWVPZXH0ER21Z&hash=item3b9d46da0b%3Ag%3A68AAAOSwwbtkOEmw&var=555988208370,
Below MCU board,"Stand offs M4 x 45, male – female, 6 of",,,,,,,,,,
Bus bars,FOUR PRONGED T NUTS CAPTIVE THREADED INSERTS FOR WOOD FURNITURE M4,4, £0.99,,,,EBAY,,,https://www.ebay.co.uk/itm/181230569842,
Bus bars,"M4 CS x10 screw, 4 of.",,,,,,,,,,
,,,,,,,,,,,
Usage,item,no.required,not incl vat,Total incl VAT,In Stock?,Ordered?,Received?,Del Date,Supplier,,
,-------------------------- MCU PCB ----------------------------------------------------------------,,,,,,,,,,
,"IC REG LINEAR 5V 1.5A D2PAK, L7805ACD2T-TR",1,0.57,0.684,6,0,0,,CPC,£3.32 shipping,
,2 x LM2937ES-3.3 NSC SEMICONDUCTOR TO263-3 Voltage Regulator **2 PER SALE**,1,,4.5,0,2,0,,Ebay,,
*,"Transducer, Magnetic, 3 VDC, 80 mA, 97 dB, 2.73 kHz KINGSTATE",1,1.54,1.848,5,0,0,,Farnell,https://uk.farnell.com/kingstate/kssgj4b20/magnetic-transducer-smd-type/dp/1502710,
